country_code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SVK,,,,,,,38,16,24,12,12,22,24,12,2,14,2,8,,4,2,2,,,,10,,,,
SVN,,,,,,,,,,,,,2,,,,,6,,,,4,2,2,,6,18,18,,
SWE,,,,,,,,,,8,34,28,24,2,16,2,8,34,2,8,6,20,,28,52,74,10,172,130,
SYR,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,,,,,,,,,,,,,,,,,10,,,,2,,2,,2,2,6,14,42,
TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,
TTO,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
TUN,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
TUR,,,,,,,,,,,,,,,,,,,,,,6,,10,4,16,16,42,124,
URY,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
USA,,,,,,,,,,,,120,120,36,198,808,386,796,430,222,810,754,120,882,724,2042,2842,4174,2494,
UZB,,,,,,,,,,,,,,,,,24,6,,,,78,76,246,194,156,142,100,68,
VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,,,,,,,,,2,4,4,4,,,,,,,,,2,,2,,,10,,,,
VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,,,,,,,,,16,72,96,90,102,48,94,90,68,96,52,60,54,66,34,180,88,86,46,24,,
